Starting date;Indicator;Sectors;City;value (Multiple units)
2025-06-15;Value of Transactions (In Thousand SAR);Total;OTHER;2964276.0
2025-06-15;Value of Transactions Change %;Total;BURAIDAH;-3.8882825359693687
2025-06-15;Value of Transactions Change %;Total;RIYADH;9.073505129655961
2025-06-15;Value of Transactions (In Thousand SAR);Furniture;Total;228408.0
2025-06-15;Value of Transactions (In Thousand SAR);Other;Total;2124084.0
2025-06-15;Value of Transactions Change %;Education;Total;665.9598922003805
2025-06-15;Value of Transactions Change %;Jewelry;Total;-12.754952408883675
2025-06-15;Value of Transactions (In Thousand SAR);Health;Total;712587.0
2025-06-15;Value of Transactions (In Thousand SAR);Miscellaneous Goods and Services;Total;1306036.0
2025-06-15;Value of Transactions Change %;Clothing and Footwear;Total;-12.140711944507967
2025-06-15;Value of Transactions Change %;Furniture;Total;4.351639917216047
2025-06-15;Value of Transactions Change %;Hotels;Total;-9.113354548447274
2025-06-15;Number of Transactions (In Thousand);Total;BURAIDAH;4657.0
2025-06-15;Number of Transactions (In Thousand);Total;DAMMAM;8346.0
2025-06-15;Number of Transactions Change %;Total;ABHA;-3.3775252525252526
2025-06-15;Number of Transactions Change %;Total;DAMMAM;5.9405940594059405
2025-06-15;Number of Transactions Change %;Total;JEDDAH;0.42157470551766896
